student_id,phase,item_label,as_of,source_id,jtbd_id
huda-2025,initial,AAJA JCamp,2023-07-29,SRC-GP-2023-07-29,
huda-2025,initial,AI Ethics Advocacy,2023-07-29,SRC-GP-2023-07-29,
huda-2025,initial,AI Scholars,2023-07-29,SRC-GP-2023-07-29,
huda-2025,initial,ASB Leadership,2023-07-29,SRC-GP-2023-07-29,
huda-2025,initial,Bank of America Student Leaders,2023-07-29,SRC-GP-2023-07-29,
huda-2025,initial,Empowering AI,2023-07-29,SRC-GP-2023-07-29,
huda-2025,initial,Filmmakers Club,2023-07-29,SRC-GP-2023-07-29,
huda-2025,initial,Folklift,2023-07-29,SRC-GP-2023-07-29,
huda-2025,initial,Interactive Media Arts Club,2023-07-29,SRC-GP-2023-07-29,
huda-2025,initial,News Anchor/Editor,2023-07-29,SRC-GP-2023-07-29,
huda-2025,initial,Notre Dame Leadership Seminars,2023-07-29,SRC-GP-2023-07-29,
huda-2025,initial,Synthoria,2023-07-29,SRC-GP-2023-07-29,
huda-2025,initial,VFX Club,2023-07-29,SRC-GP-2023-07-29,
huda-2025,initial,YAC (Youth Advisory Council),2023-07-29,SRC-GP-2023-07-29,
huda-2025,initial,Yale Young Global Scholars (YYGS),2023-07-29,SRC-GP-2023-07-29,
